date,away,away score,home,home score,winner
2019-03-03T21:35:00.000Z,Hangzhou Spark,3,Los Angeles Gladiators,1,Hangzhou Spark
2019-03-10T01:20:00.000Z,Hangzhou Spark,0,Toronto Defiant,3,Toronto Defiant
2019-04-07T22:25:00.000Z,Vancouver Titans,4,Hangzhou Spark,0,Vancouver Titans
2019-04-13T00:45:00.000Z,Boston Uprising,2,Hangzhou Spark,3,Hangzhou Spark
2019-04-20T04:30:00.000Z,Hangzhou Spark,3,Guangzhou Charge,2,Hangzhou Spark
2019-04-21T22:20:00.000Z,Hangzhou Spark,0,San Francisco Shock,4,San Francisco Shock
2019-04-27T18:25:00.000Z,Hangzhou Spark,3,Chengdu Hunters,1,Hangzhou Spark
2019-04-28T17:00:00.000Z,Hangzhou Spark,3,Paris Eternal,2,Hangzhou Spark
2019-05-06T00:55:00.000Z,Seoul Dynasty,1,Hangzhou Spark,3,Hangzhou Spark
2019-06-08T19:00:00.000Z,Hangzhou Spark,4,Philadelphia Fusion,0,Hangzhou Spark
2019-06-14T04:10:00.000Z,Hangzhou Spark,1,Vancouver Titans,3,Vancouver Titans
2019-06-15T19:00:00.000Z,Washington Justice,0,Hangzhou Spark,3,Hangzhou Spark
2019-06-23T00:10:00.000Z,Hangzhou Spark,3,Seoul Dynasty,2,Hangzhou Spark
2019-06-21T01:50:00.000Z,Hangzhou Spark,3,Dallas Fuel,0,Hangzhou Spark
2019-06-28T00:30:00.000Z,Hangzhou Spark,3,Los Angeles Valiant,2,Hangzhou Spark
2019-06-29T22:45:00.000Z,Florida Mayhem,0,Hangzhou Spark,4,Hangzhou Spark
2019-07-28T00:15:00.000Z,Atlanta Reign,0,Hangzhou Spark,0,N/A
2019-08-03T04:15:00.000Z,Guangzhou Charge,0,Hangzhou Spark,0,N/A
2019-08-10T04:15:00.000Z,Hangzhou Spark,0,New York Excelsior,0,N/A
2019-08-11T00:15:00.000Z,Chengdu Hunters,0,Hangzhou Spark,0,N/A
2019-08-16T00:45:00.000Z,Dallas Fuel,0,Hangzhou Spark,0,N/A
2019-08-17T02:30:00.000Z,Los Angeles Gladiators,0,Hangzhou Spark,0,N/A
2019-08-25T19:00:00.000Z,Hangzhou Spark,0,Shanghai Dragons,0,N/A
2019-07-12T01:00:00.000Z,Houston Outlaws,0,Vancouver Titans,3,Vancouver Titans
2019-02-16T00:00:00.000Z,Toronto Defiant,3,Houston Outlaws,2,Toronto Defiant
2019-02-17T20:00:00.000Z,Houston Outlaws,2,Boston Uprising,3,Boston Uprising
2019-02-23T05:00:00.000Z,Houston Outlaws,3,Hangzhou Spark,1,Houston Outlaws
2019-02-24T21:30:00.000Z,New York Excelsior,4,Houston Outlaws,0,New York Excelsior
2019-03-02T21:30:00.000Z,Florida Mayhem,1,Houston Outlaws,3,Houston Outlaws
2019-03-09T20:00:00.000Z,Los Angeles Valiant,1,Houston Outlaws,2,Houston Outlaws
2019-03-17T22:45:00.000Z,Houston Outlaws,1,Atlanta Reign,3,Atlanta Reign
2019-04-13T20:45:00.000Z,Vancouver Titans,3,Houston Outlaws,1,Vancouver Titans
2019-04-20T00:55:00.000Z,Philadelphia Fusion,4,Houston Outlaws,0,Philadelphia Fusion
2019-04-21T20:45:00.000Z,Houston Outlaws,0,Shanghai Dragons,3,Shanghai Dragons
2019-04-27T20:10:00.000Z,Houston Outlaws,0,Seoul Dynasty,4,Seoul Dynasty
2019-04-28T23:20:00.000Z,Houston Outlaws,1,Dallas Fuel,3,Dallas Fuel
2019-05-03T04:00:00.000Z,Guangzhou Charge,3,Houston Outlaws,2,Guangzhou Charge
2019-05-04T19:00:00.000Z,London Spitfire,4,Houston Outlaws,0,London Spitfire
2019-06-08T01:55:00.000Z,Houston Outlaws,2,New York Excelsior,3,New York Excelsior
2019-06-13T23:00:00.000Z,Houston Outlaws,3,San Francisco Shock,2,Houston Outlaws
2019-06-15T02:05:00.000Z,Boston Uprising,0,Houston Outlaws,4,Houston Outlaws
2019-06-21T00:15:00.000Z,Paris Eternal,1,Houston Outlaws,3,Houston Outlaws
2019-06-23T22:30:00.000Z,Houston Outlaws,1,Florida Mayhem,3,Florida Mayhem
2019-06-29T03:45:00.000Z,Houston Outlaws,3,Washington Justice,0,Houston Outlaws
2019-06-30T22:25:00.000Z,Houston Outlaws,3,Toronto Defiant,1,Houston Outlaws
2019-07-25T23:00:00.000Z,Houston Outlaws,0,Paris Eternal,0,N/A
2019-07-27T22:30:00.000Z,Los Angeles Gladiators,0,Houston Outlaws,0,N/A
2019-08-03T00:45:00.000Z,Houston Outlaws,0,Philadelphia Fusion,0,N/A
2019-08-04T19:00:00.000Z,Atlanta Reign,0,Houston Outlaws,0,N/A
2019-08-10T19:00:00.000Z,Houston Outlaws,0,London Spitfire,0,N/A
2019-08-11T20:45:00.000Z,Washington Justice,0,Houston Outlaws,0,N/A
2019-08-18T00:15:00.000Z,Chengdu Hunters,0,Houston Outlaws,0,N/A
2019-05-10T02:55:00.000Z,Hangzhou Spark,3,London Spitfire,1,Hangzhou Spark
2019-02-15T00:00:00.000Z,Philadelphia Fusion,3,London Spitfire,1,Philadelphia Fusion
2019-02-16T20:00:00.000Z,London Spitfire,1,Paris Eternal,3,Paris Eternal
2019-02-22T00:00:00.000Z,Washington Justice,2,London Spitfire,3,London Spitfire
2019-02-24T20:00:00.000Z,Hangzhou Spark,1,London Spitfire,3,London Spitfire
2019-03-02T00:00:00.000Z,Los Angeles Gladiators,1,London Spitfire,2,London Spitfire
2019-03-10T20:30:00.000Z,London Spitfire,2,Shanghai Dragons,3,Shanghai Dragons
2019-03-16T20:50:00.000Z,London Spitfire,0,Seoul Dynasty,3,Seoul Dynasty
2019-04-05T23:00:00.000Z,London Spitfire,2,Florida Mayhem,1,London Spitfire
2019-04-07T20:35:00.000Z,Atlanta Reign,0,London Spitfire,4,London Spitfire
2019-04-13T19:00:00.000Z,London Spitfire,2,Philadelphia Fusion,1,London Spitfire
2019-04-20T19:00:00.000Z,London Spitfire,4,Boston Uprising,0,London Spitfire
2019-04-27T16:00:00.000Z,Paris Eternal,0,London Spitfire,4,London Spitfire
2019-04-28T19:25:00.000Z,Chengdu Hunters,3,London Spitfire,1,Chengdu Hunters
2019-05-04T19:00:00.000Z,London Spitfire,4,Houston Outlaws,0,London Spitfire
2019-06-08T00:30:00.000Z,Boston Uprising,0,London Spitfire,4,London Spitfire
2019-06-09T19:00:00.000Z,New York Excelsior,4,London Spitfire,0,New York Excelsior
2019-06-15T00:35:00.000Z,Toronto Defiant,1,London Spitfire,3,London Spitfire
2019-06-21T23:00:00.000Z,London Spitfire,2,New York Excelsior,3,New York Excelsior
2019-06-22T19:00:00.000Z,London Spitfire,2,Washington Justice,1,London Spitfire
2019-06-29T00:30:00.000Z,London Spitfire,0,Los Angeles Valiant,4,Los Angeles Valiant
2019-06-30T20:30:00.000Z,London Spitfire,0,San Francisco Shock,4,San Francisco Shock
2019-07-27T00:45:00.000Z,Dallas Fuel,0,London Spitfire,0,N/A
2019-07-28T20:45:00.000Z,London Spitfire,0,Toronto Defiant,0,N/A
2019-08-01T23:00:00.000Z,Guangzhou Charge,0,London Spitfire,0,N/A
2019-08-03T20:45:00.000Z,Florida Mayhem,0,London Spitfire,0,N/A
2019-08-08T23:00:00.000Z,London Spitfire,0,Vancouver Titans,0,N/A
2019-08-10T19:00:00.000Z,Houston Outlaws,0,London Spitfire,0,N/A
